"","uniprot_id","genesymbol"
"725","Q924Y0","Bbox1"
"726","Q60598","Cttn"
"727","P54775","Psmc4"
"728","P97372","Psme2"
"729","P35486","Pdha1"
"730","Q9WV54","Asah1"
"731","Q8CFX1","H6pd"
"732","Q9Z0S1","Bpnt1"
"733","O08600","Endog"
"734","O35969","Gamt"
"735","Q8CIE6","Copa"
"736","Q8R2Y8","Ptrh2"
"737","Q9CR86","Carhsp1"
"738","P19783","Cox4i1"
"739","P11983","Tcp1"
"740","Q5XJY5","Arcn1"
"741","P19253","Rpl13a"
"742","Q9QY76","Vapb"
"743","P32233","Drg1"
"744","Q60991","Cyp7b1"
"745","O08705","Slc10a1"
"746","Q8BJ64","Chdh"
"747","Q91VM9","Ppa2"
"748","Q9R092","Hsd17b6"
"749","Q9ERK4","Cse1l"
"750","P50580","Pa2g4"
"751","Q9QZ88","Vps29"
"752","Q922B2","Dars1"
"753","Q8BP47","NARS1"
"754","O09174","Amacr"
"755","P46935","Nedd4"
"756","Q9R1P0","Psma4"
"757","Q9CR16","Ppid"
"758","Q8CCK0","Macroh2a2"
"759","Q60766","Irgm1"
"760","Q9JJI8","Rpl38"
"761","Q8BWU8","Etnppl"
"762","Q9JM76","Arpc3"
"763","P99026","Psmb4"
"764","Q64521","Gpd2"
"765","Q64727","Vcl"
"766","Q9CXI5","Manf"
"767","Q9EQK5","Mvp"
"768","P21614","Gc"
"769","Q8CFK6","Dennd1c"
"770","P23116","Eif3a"
"771","P59325","Eif5"
"772","Q8R1B4","Eif3c"
"773","P21107","Tpm3"
"774","Q3TNA1","Xylb"
"775","Q3THK7","Gmps"
"776","Q9EP89","Lactb"
"777","A0A1L1SQU7",NA
"778","P12790","Cyp2b9"
"779","Q9CQC7","Ndufb4"
"780","Q8CDN6","Txnl1"
"781","P50171","Hsd17b8"
"782","P68510","Ywhah"
"783","Q921H8","Acaa1a"
"784","P24721","Asgr2"
"785","Q9CQ75","Ndufa2"
"786","P97370","Atp1b3"
"787","Q8BGC4","Ptgr3"
"788","Q99J39","Mlycd"
"789","Q8BGH2","Samm50"
"790","Q9WU19","Hao1"
"791","Q9Z1Z0","Uso1"
"792","Q9WUA2","Farsb"
"793","Q9CQZ5","Ndufa6"
"794","Q8VCF0","Mavs"
"795","Q03249","Galt"
"796","Q6GQT9","Nomo1"
"797","Q07076","Anxa7"
"798","Q91WJ2",NA
"799","Q91X77","Cyp2c50"
"800","P20852","Cyp2a5"
"801","Q8BHE8","Maip1"
"802","Q61586","Gpam"
"803","P47758","Srprb"
"804","O88986","Gcat"
"805","Q9QZW0","Atp11c"
"806","P26516","Psmd7"
"807","Q01279","Egfr"
"808","Q9R257","Hebp1"
"809","Q924Z4","Cers2"
"810","Q9Z0R9","Fads2"
"811","Q91YP3","Dera"
"812","Q91WC3","Acsl6"
"813","Q8R1I1","Uqcr10"
"814","Q91YP0","L2hgdh"
"815","P08101","Fcgr2"
"816","Q9D1Q6","Erp44"
"817","Q8BTY1","Kyat1"
"818","Q922B1","Macrod1"
"819","Q9CQU3","Rer1"
"820","Q91WU5","As3mt"
"821","Q99LX0","Park7"
"822","P42925","Pxmp2"
"823","Q61703","Itih2"
"824","Q61335","Bcap31"
"825","P27046","Man2a1"
"826","Q9EQ06","Hsd17b11"
"827","Q9JK53","Prelp"
"828","Q64FW2","Retsat"
"829","E9PV38",NA
"830","Q9CQI6","Cotl1"
"831","Q91W43","Gldc"
"832","P17427","Ap2a2"
"833","Q8K010","Oplah"
"834","Q91X34","Baat"
"835","Q9D0E1","Hnrnpm"
"836","Q6A0A9","FAM120A"
"837","Q569X9",NA
"838","Q9D2R0","Aacs"
"839","E9PYP1",NA
"840","Q9DCY0","Keg1"
"841","P28653","Bgn"
"842","Q9CQM9","Glrx3"
"843","Q9CQR2","Rps21"
"844","Q924D0","Rtn4ip1"
"845","Q9WV32","Arpc1b"
"846","O54909","Rdh16"
"847","Q00519","Xdh"
"848","Q9WVJ2","Psmd13"
"849","Q60936","Coq8a"
"850","P54116","Stom"
"851","Q9DCV4","Rmdn1"
"852","Q9CQH3","Ndufb5"
"853","Q9D892","Itpa"
"854","P53026","Rpl10a"
"855","Q9CPV4","Glod4"
"856","P53986","Slc16a1"
"857","Q00724","Rbp4"
"858","Q3UJU9","Rmdn3"
"859","Q9DBW0","Cyp4v2"
"860","Q8C7X2","Emc1"
"861","Q9D880","Timm50"
"862","Q9CQE8","RTRAF"
"863","Q9CYN2","Spcs2"
"864","D3YZZ5",NA
"865","Q9R1T2","Sae1"
"866","Q9R0N0","Galk1"
"867","O35678","Mgll"
"868","K7N6C2",NA
"869","Q02819","Nucb1"
"870","P53798","Fdft1"
"871","Q8K3M1",NA
"872","Q9DBH5","Lman2"
"873","Q8BU30","Iars1"
"874","Q8VC97","Upb1"
"875","Q9WVA4","Tagln2"
"876","Q8R0N6","Adhfe1"
"877","Q8BVD5","Mpp7"
"878","P42669","Pura"
"879","P97855","G3bp1"
"880","Q9D0I9","Rars1"
"881","Q9CYS6",NA
"882","Q62086","Pon2"
"883","P11609","Cd1d1"
"884","Q9CXS4","Cenpv"
"885","Q9DBL1","Acadsb"
"886","Q6P5E4","Uggt1"
"887","Q8BT60","Cpne3"
"888","O70133","Dhx9"
"889","Q8R0V5","Ido2"
"890","Q9JHU4","Dync1h1"
"891","P48962","Slc25a4"
"892","Q8VDP6","Cdipt"
"893","P43276","H1-5"
"894","Q9D172","Gatd3"
"895","Q9D358","Acp1"
"896","Q62446","Fkbp3"
"897","Q9WUR2","Eci2"
"898","Q9CZ44","Nsfl1c"
"899","Q62318","Trim28"
"900","Q9CWJ9","Atic"
"901","Q99J99","Mpst"
"902","P35282","Rab21"
"903","Q9D1G1","Rab1b"
"904","P23953","Ces1c"
